Senat;Entscheidungsdatum;Einspieldatum;Aktenzeichen;Link_Aktenzeichen;Zusatzinformationen;Unique_nr;Link_Zusatzinformationen
2. Strafsenat;20.2.2024;20.2.2024;2 StR 468/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136522&pos=0&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 32/24  vom 20.2.2024;136522;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136521&linked=pm&Blank=1']
Kartellsenat;20.2.2024;21.2.2024;KVB 69/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136534&pos=1&anz=1274&Blank=1.pdf;"siehe auch: Pressemitteilung Nr. 33/24  vom 21.2.2024,
     Pressemitteilung Nr. 23/24  vom 7.2.2024";136534;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136533&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136355&linked=pm&Blank=1']
2. Strafsenat;15.2.2024;15.2.2024;2 StR 404/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136468&pos=2&anz=1274&Blank=1.pdf;"siehe auch: Pressemitteilung Nr. 216/23  vom 29.12.2023,
     Pressemitteilung Nr. 31/24  vom 15.2.2024";136468;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=135864&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136466&linked=pm&Blank=1']
5. Strafsenat;15.2.2024;15.2.2024;5 StR 283/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136467&pos=3&anz=1274&Blank=1.pdf;"siehe auch: Pressemitteilung Nr. 30/24  vom 15.2.2024,
     Pressemitteilung Nr. 6/24  vom 11.1.2024,
     Pressemitteilung Nr. 5/24  vom 11.1.2024";136467;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136465&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136024&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136023&linked=pm&Blank=1']
4. Strafsenat;14.2.2024;23.2.2024;4 StR 478/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136568&pos=4&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 34/24  vom 23.2.2024;136568;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136567&linked=pm&Blank=1']
5. Strafsenat;14.2.2024;14.2.2024;5 StR 215/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136445&pos=5&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 27/24  vom 14.2.2024;136445;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136444&linked=pm&Blank=1']
VIa. Zivilsenat;13.2.2024;23.2.2024;VIa ZR 609/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136564&pos=6&anz=1274&Blank=1.pdf;;136564;[]
V. Zivilsenat;9.2.2024;13.2.2024;V ZR 244/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136421&pos=7&anz=1274&Blank=1.pdf;"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 191/23  vom 21.11.2023,
     Pressemitteilung Nr. 26/24  vom 9.2.2024";136421;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=135470&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136399&linked=pm&Blank=1']
V. Zivilsenat;9.2.2024;9.2.2024;V ZR 33/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136401&pos=8&anz=1274&Blank=1.pdf;"siehe auch: Pressemitteilung Nr. 191/23  vom 21.11.2023,
     Pressemitteilung Nr. 26/24  vom 9.2.2024";136401;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=135470&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136399&linked=pm&Blank=1']
6. Strafsenat;8.2.2024;22.2.2024;6 StR 533/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136541&pos=9&anz=1274&Blank=1.pdf;;136541;[]
6. Strafsenat;8.2.2024;22.2.2024;6 StR 533/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136542&pos=10&anz=1274&Blank=1.pdf;;136542;[]
I. Zivilsenat;8.2.2024;14.2.2024;I ZR 34/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136437&pos=11&anz=1274&Blank=1.pdf;"Seniorenwohnheim
Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 25/24  vom 8.2.2024";136437;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136369&linked=pm&Blank=1']
I. Zivilsenat;8.2.2024;8.2.2024;I ZR 35/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136371&pos=12&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 25/24  vom 8.2.2024;136371;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136369&linked=pm&Blank=1']
IX. Zivilsenat;8.2.2024;19.2.2024;IX ZR 137/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136489&pos=13&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136489;[]
IX. Zivilsenat;8.2.2024;16.2.2024;IX ZR 194/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136474&pos=14&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136474;[]
6. Strafsenat;7.2.2024;20.2.2024;6 StR 346/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136501&pos=15&anz=1274&Blank=1.pdf;;136501;[]
1. Strafsenat;6.2.2024;15.2.2024;1 StR 469/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136463&pos=16&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 28/24  vom 15.2.2024;136463;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136461&linked=pm&Blank=1']
6. Strafsenat;6.2.2024;22.2.2024;6 StR 352/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136540&pos=17&anz=1274&Blank=1.pdf;;136540;[]
6. Strafsenat;6.2.2024;20.2.2024;6 StR 525/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136503&pos=18&anz=1274&Blank=1.pdf;;136503;[]
VIa. Zivilsenat;6.2.2024;20.2.2024;VIa ZR 16/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136513&pos=19&anz=1274&Blank=1.pdf;;136513;[]
VIa. Zivilsenat;6.2.2024;23.2.2024;VIa ZR 578/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136562&pos=20&anz=1274&Blank=1.pdf;;136562;[]
I. Zivilsenat;2.2.2024;14.2.2024;I ZB 29/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136436&pos=21&anz=1274&Blank=1.pdf;;136436;[]
5. Strafsenat;1.2.2024;19.2.2024;5 StR 419/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136480&pos=22&anz=1274&Blank=1.pdf;;136480;[]
5. Strafsenat;1.2.2024;16.2.2024;5 StR 93/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136470&pos=23&anz=1274&Blank=1.pdf;;136470;[]
3. Strafsenat;1.2.2024;19.2.2024;StB 65/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136491&pos=24&anz=1274&Blank=1.pdf;;136491;[]
2. Strafsenat;31.1.2024;23.2.2024;2 StR 55/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136558&pos=25&anz=1274&Blank=1.pdf;;136558;[]
5. Strafsenat;31.1.2024;20.2.2024;5 StR 364/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136500&pos=26&anz=1274&Blank=1.pdf;;136500;[]
5. Strafsenat;31.1.2024;12.2.2024;5 StR 464/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136402&pos=27&anz=1274&Blank=1.pdf;;136402;[]
4. Strafsenat;30.1.2024;22.2.2024;4 StR 397/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136538&pos=28&anz=1274&Blank=1.pdf;;136538;[]
4. Strafsenat;30.1.2024;22.2.2024;4 StR 441/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=0&nr=136539&pos=29&anz=1274&Blank=1.pdf;;136539;[]
5. Strafsenat;30.1.2024;9.2.2024;5 StR 458/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136375&pos=30&anz=1274&Blank=1.pdf;;136375;[]
5. Strafsenat;30.1.2024;12.2.2024;5 StR 490/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136403&pos=31&anz=1274&Blank=1.pdf;;136403;[]
5. Strafsenat;30.1.2024;14.2.2024;5 StR 499/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136434&pos=32&anz=1274&Blank=1.pdf;;136434;[]
5. Strafsenat;30.1.2024;14.2.2024;5 StR 577/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136435&pos=33&anz=1274&Blank=1.pdf;;136435;[]
5. Strafsenat;30.1.2024;16.2.2024;5 StR 607/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136471&pos=34&anz=1274&Blank=1.pdf;;136471;[]
VIa. Zivilsenat;30.1.2024;20.2.2024;VIa ZR 1297/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136514&pos=35&anz=1274&Blank=1.pdf;;136514;[]
VIa. Zivilsenat;30.1.2024;20.2.2024;VIa ZR 1337/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136515&pos=36&anz=1274&Blank=1.pdf;;136515;[]
VIa. Zivilsenat;30.1.2024;14.2.2024;VIa ZR 1729/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136438&pos=37&anz=1274&Blank=1.pdf;;136438;[]
VIa. Zivilsenat;30.1.2024;19.2.2024;VIa ZR 437/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136492&pos=38&anz=1274&Blank=1.pdf;;136492;[]
VIa. Zivilsenat;30.1.2024;15.2.2024;VIa ZR 517/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136458&pos=39&anz=1274&Blank=1.pdf;;136458;[]
VIa. Zivilsenat;30.1.2024;16.2.2024;VIa ZR 59/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136475&pos=40&anz=1274&Blank=1.pdf;;136475;[]
VIa. Zivilsenat;30.1.2024;23.2.2024;VIa ZR 605/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136563&pos=41&anz=1274&Blank=1.pdf;;136563;[]
VIa. Zivilsenat;30.1.2024;20.2.2024;VIa ZR 743/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136518&pos=42&anz=1274&Blank=1.pdf;;136518;[]
I. Zivilsenat;25.1.2024;23.2.2024;I ZB 51/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136559&pos=43&anz=1274&Blank=1.pdf;;136559;[]
3. Strafsenat;25.1.2024;15.2.2024;StB 3/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136456&pos=44&anz=1274&Blank=1.pdf;;136456;[]
1. Strafsenat;24.1.2024;1.2.2024;1 StR 2/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136255&pos=45&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 20/24  vom 1.2.2024;136255;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136254&linked=pm&Blank=1']
1. Strafsenat;24.1.2024;7.2.2024;1 StR 346/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136357&pos=46&anz=1274&Blank=1.pdf;siehe auch: Pressemitteilung Nr. 24/24  vom 7.2.2024;136357;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136356&linked=pm&Blank=1']
6. Strafsenat;24.1.2024;15.2.2024;6 StR 18/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136452&pos=47&anz=1274&Blank=1.pdf;;136452;[]
6. Strafsenat;24.1.2024;20.2.2024;6 StR 456/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136502&pos=48&anz=1274&Blank=1.pdf;;136502;[]
6. Strafsenat;24.1.2024;15.2.2024;6 StR 558/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136453&pos=49&anz=1274&Blank=1.pdf;;136453;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 100/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136392&pos=50&anz=1274&Blank=1.pdf;;136392;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 101/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136393&pos=51&anz=1274&Blank=1.pdf;;136393;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 102/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136394&pos=52&anz=1274&Blank=1.pdf;;136394;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 103/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136395&pos=53&anz=1274&Blank=1.pdf;;136395;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 104/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136396&pos=54&anz=1274&Blank=1.pdf;;136396;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 105/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136397&pos=55&anz=1274&Blank=1.pdf;;136397;[]
Senat für Anwaltssachen;24.1.2024;9.2.2024;AK 106/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136398&pos=56&anz=1274&Blank=1.pdf;;136398;[]
I. Zivilsenat;24.1.2024;13.2.2024;I ZB 74/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136417&pos=57&anz=1274&Blank=1.pdf;;136417;[]
I. Zivilsenat;24.1.2024;7.2.2024;I ZB 92/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136341&pos=58&anz=1274&Blank=1.pdf;;136341;[]
IV. Zivilsenat;24.1.2024;12.2.2024;IV ZR 306/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=1&nr=136404&pos=59&anz=1274&Blank=1.pdf;Leitsatzentscheidung;136404;[]
3. Strafsenat;24.1.2024;9.2.2024;StB 1/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136378&pos=60&anz=1274&Blank=1.pdf;;136378;[]
3. Strafsenat;24.1.2024;15.2.2024;StB 2/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136455&pos=61&anz=1274&Blank=1.pdf;;136455;[]
3. Strafsenat;24.1.2024;15.2.2024;StB 4/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136457&pos=62&anz=1274&Blank=1.pdf;;136457;[]
XII. Zivilsenat;24.1.2024;16.2.2024;XII ZA 21/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136477&pos=63&anz=1274&Blank=1.pdf;;136477;[]
XII. Zivilsenat;24.1.2024;22.2.2024;XII ZR 81/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136554&pos=64&anz=1274&Blank=1.pdf;;136554;[]
3. Strafsenat;23.1.2024;15.2.2024;3 StR 337/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136450&pos=65&anz=1274&Blank=1.pdf;;136450;[]
6. Strafsenat;23.1.2024;16.2.2024;6 StR 1/24;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136472&pos=66&anz=1274&Blank=1.pdf;;136472;[]
6. Strafsenat;23.1.2024;13.2.2024;6 StR 551/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136416&pos=67&anz=1274&Blank=1.pdf;;136416;[]
3. Strafsenat;23.1.2024;20.2.2024;AK 108/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136504&pos=68&anz=1274&Blank=1.pdf;;136504;[]
I. Zivilsenat;23.1.2024;1.2.2024;I ZR 147/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136391&pos=69&anz=1274&Blank=1.pdf;"Eindrehpapier
Leitsatzentscheidung";136391;[]
I. Zivilsenat;23.1.2024;5.2.2024;I ZR 205/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136288&pos=70&anz=1274&Blank=1.pdf;"Extreme Durable
Leitsatzentscheidung";136288;[]
VIa. Zivilsenat;23.1.2024;23.2.2024;VIa ZR 1284/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136560&pos=71&anz=1274&Blank=1.pdf;;136560;[]
VIa. Zivilsenat;23.1.2024;21.2.2024;VIa ZR 1290/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136526&pos=72&anz=1274&Blank=1.pdf;;136526;[]
VIa. Zivilsenat;23.1.2024;22.2.2024;VIa ZR 165/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136551&pos=73&anz=1274&Blank=1.pdf;;136551;[]
VIa. Zivilsenat;23.1.2024;23.2.2024;VIa ZR 246/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136561&pos=74&anz=1274&Blank=1.pdf;;136561;[]
VIa. Zivilsenat;23.1.2024;9.2.2024;VIa ZR 297/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136381&pos=75&anz=1274&Blank=1.pdf;;136381;[]
VIa. Zivilsenat;23.1.2024;20.2.2024;VIa ZR 420/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136516&pos=76&anz=1274&Blank=1.pdf;;136516;[]
VIa. Zivilsenat;23.1.2024;20.2.2024;VIa ZR 582/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136517&pos=77&anz=1274&Blank=1.pdf;;136517;[]
VIa. Zivilsenat;23.1.2024;23.2.2024;VIa ZR 612/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136565&pos=78&anz=1274&Blank=1.pdf;;136565;[]
VIa. Zivilsenat;23.1.2024;9.2.2024;VIa ZR 678/21;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136382&pos=79&anz=1274&Blank=1.pdf;;136382;[]
VIa. Zivilsenat;23.1.2024;23.2.2024;VIa ZR 804/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136566&pos=80&anz=1274&Blank=1.pdf;;136566;[]
X. Zivilsenat;23.1.2024;22.2.2024;X ZB 18/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136552&pos=81&anz=1274&Blank=1.pdf;;136552;[]
X. Zivilsenat;23.1.2024;22.2.2024;X ZR 134/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136553&pos=82&anz=1274&Blank=1.pdf;;136553;[]
XI. Zivilsenat;23.1.2024;9.2.2024;XI ZR 310/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136385&pos=83&anz=1274&Blank=1.pdf;;136385;[]
XI. Zivilsenat;23.1.2024;9.2.2024;XI ZR 38/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136383&pos=84&anz=1274&Blank=1.pdf;;136383;[]
I. Zivilsenat;22.1.2024;7.2.2024;I ZB 90/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136339&pos=85&anz=1274&Blank=1.pdf;;136339;[]
I. Zivilsenat;22.1.2024;7.2.2024;I ZB 91/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136340&pos=86&anz=1274&Blank=1.pdf;;136340;[]
V. Zivilsenat;19.1.2024;29.1.2024;V ZR 191/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136207&pos=87&anz=1274&Blank=1.pdf;"Leitsatzentscheidung

siehe auch: Pressemitteilung Nr. 174/23  vom 23.10.2023,
     Pressemitteilung Nr. 10/24  vom 19.1.2024";136207;['https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=135134&linked=pm&Blank=1', 'https://juris.bundesgerichtshof.de/cgi-bin/rechtsprechung/document.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136104&linked=pm&Blank=1']
4. Strafsenat;18.1.2024;13.2.2024;4 StR 253/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136414&pos=88&anz=1274&Blank=1.pdf;;136414;[]
4. Strafsenat;18.1.2024;19.2.2024;4 StR 289/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=2&nr=136478&pos=89&anz=1274&Blank=1.pdf;;136478;[]
III. Zivilsenat;18.1.2024;15.2.2024;III ZR 245/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=3&nr=136454&pos=90&anz=1274&Blank=1.pdf;"Namensschuldverschreibung, Wertpapierprospekt, Transparenzgebot, Darlegungs- und Beweislast
Leitsatzentscheidung";136454;[]
III. Zivilsenat;18.1.2024;13.2.2024;III ZR 246/22;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=3&nr=136419&pos=91&anz=1274&Blank=1.pdf;;136419;[]
VI. Zivilsenat;18.1.2024;7.2.2024;VI ZR 1049/20;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=3&nr=136347&pos=92&anz=1274&Blank=1.pdf;;136347;[]
4. Strafsenat;17.1.2024;22.2.2024;4 StR 316/23;https://juris.bundesgerichtshof.dedocument.py?Gericht=bgh&Art=en&Datum=Aktuell&Seite=3&nr=136537&pos=93&anz=1274&Blank=1.pdf;;136537;[]
